,cluster_id_pair1,Name_pair1,City_pair1,Zip_pair1,Address_pair1,gender_field_pair1,source_pair1,age_pair1,cluster_id_pair2,Name_pair2,City_pair2,Zip_pair2,Address_pair2,gender_field_pair2,source_pair2,age_pair2
0,148,walmart fuel ctr 7221,northport,342873500,1100smainst,gender_field,pbna,,148,walmart nhm 7221,northport,342873500,1100smainst,gender_field,pbna,
1,454,harris teeter 0034 csd,fernandinabeach,320345597,4800firstcoasthwy,gender_field,pbna,,454,harris teeter 0034 ncb,fernandinabeach,320345597,4800firstcoasthwy,gender_field,pbna,
2,486,easy stop food store llc,callahan,320118126,542113ushighway1,gender_field,pbna,,486,ez stop food store,callahan,320118126,542113ushighway1,gender_field,pbna,
4,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,339,timuquana bp,jacksonville,322108051,5406timuquanard,gender_field,pbna,
5,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,
6,339,timuquana bp,jacksonville,322108051,5406timuquanard,gender_field,pbna,,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,
7,349,hagan ace hardware,jacksonville,322232644,12501sanjoseblvd,gender_field,pbna,,432,winn-dixie 0141,jacksonville,322230756,11701sanjoseblvd,gender_field,pbna,
8,364,walia ibex,jacksonville,322192627,9012newkingsrd,gender_field,pbna,,367,dinsmore meats,jacksonville,322192138,11058newkingsrd,gender_field,pbna,
9,385,emesa express no 2,fernandinabeach,320344452,2135sadlerrd,gender_field,pbna,,465,dollar tree 2804,fernandinabeach,320344752,814sadlerrd,gender_field,pbna,
10,409,sams club dc 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,,409,sams club ms 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,
11,409,sams club dc 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,,409,sams club cafe 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,
12,409,sams club ms 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,,409,sams club cafe 6363,jacksonville,322446609,6373youngermancir,gender_field,pbna,
14,456,a1a gas mart,fernandinabeach,320343705,816s8thst,gender_field,pbna,,461,winn-dixie 0084,fernandinabeach,320343073,1745s8thst,gender_field,pbna,
15,459,circle k 2745033,fernandinabeach,320348680,3062s8thst,gender_field,pbna,,463,circle k 2745046,fernandinabeach,320343060,1982s8thst,gender_field,pbna,
17,520,first coast energy 1024,jacksonville,322237238,11647sanjoseblvd,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
19,406,winn-dixie 0176,jacksonville,32244,8650argyleforestblvd,gender_field,pbna,,410,publix 0649,jacksonville,322446127,6001argyleforestblvdste45,gender_field,pbna,
23,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,,497,king food discount 03,jacksonville,322184002,11565nmainst,gender_field,pbna,
28,335,sunshine food mart 279,greencovesprings,320432546,1383norangeave,gender_field,pbna,,371,green cove shell,greencovesprings,320434134,410sorangeave,gender_field,pbna,
29,336,oceanway food store,jacksonville,322182610,12553nmainst,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
30,360,a1a food store,jacksonville,322332843,2821stateroada1a,gender_field,pbna,,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,
31,365,blanding grocery,middleburg,320686335,2816blandingblvd,gender_field,pbna,,418,winn-dixie 0093,middleburg,320685648,2720blandingblvd,gender_field,pbna,
32,391,prime time food store 02,jacksonville,322771335,4275universityblvdn,gender_field,pbna,,392,prime time food store 0004,jacksonville,322772423,3550universityblvdn,gender_field,pbna,
33,406,winn-dixie 0176,jacksonville,32244,8650argyleforestblvd,gender_field,pbna,,408,publix 0128,jacksonville,322222800,9518argyleforestblvd,gender_field,pbna,
35,408,publix 0128,jacksonville,322222800,9518argyleforestblvd,gender_field,pbna,,410,publix 0649,jacksonville,322446127,6001argyleforestblvdste45,gender_field,pbna,
39,426,winn-dixie 0199,jacksonville,322211105,703chaffeerds,gender_field,pbna,,427,publix 1037,jacksonville,322217657,7749normandyblvd,gender_field,pbna,
40,426,winn-dixie 0199,jacksonville,322211105,703chaffeerds,gender_field,pbna,,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,
41,426,winn-dixie 0199,jacksonville,322211105,703chaffeerds,gender_field,pbna,,529,first coast energy 1111,jacksonville,322464505,4887gatepkwy,gender_field,pbna,
42,427,publix 1037,jacksonville,322217657,7749normandyblvd,gender_field,pbna,,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,
43,427,publix 1037,jacksonville,322217657,7749normandyblvd,gender_field,pbna,,529,first coast energy 1111,jacksonville,322464505,4887gatepkwy,gender_field,pbna,
44,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,,529,first coast energy 1111,jacksonville,322464505,4887gatepkwy,gender_field,pbna,
45,432,winn-dixie 0141,jacksonville,322230756,11701sanjoseblvd,gender_field,pbna,,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,
47,458,cvs 03235,fernandinabeach,320344752,870sadlerrd,gender_field,pbna,,465,dollar tree 2804,fernandinabeach,320344752,814sadlerrd,gender_field,pbna,
48,459,circle k 2745033,fernandinabeach,320348680,3062s8thst,gender_field,pbna,,460,circle k 2745036,fernandinabeach,320342262,2809atlanticave,gender_field,pbna,
49,461,winn-dixie 0084,fernandinabeach,320343073,1745s8thst,gender_field,pbna,,463,circle k 2745046,fernandinabeach,320343060,1982s8thst,gender_field,pbna,
50,479,dollar general 01333,callahan,320113832,450019stateroad200,gender_field,pbna,,492,dollar general 18284,callahan,320113656,540560ushighway1,gender_field,pbna,
52,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,
53,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,,506,family dollar 01690,jacksonville,322184832,1100dunnave,gender_field,pbna,
54,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,,506,family dollar 01690,jacksonville,322184832,1100dunnave,gender_field,pbna,
55,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,,495,dunn food store,jacksonville,322185285,10696biscayneblvd,gender_field,pbna,
56,500,northside food store,jacksonville,322184836,1300dunnave,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
57,500,northside food store,jacksonville,322184836,1300dunnave,gender_field,pbna,,504,walgreens 05690,jacksonville,322184803,866dunnave,gender_field,pbna,
58,500,northside food store,jacksonville,322184836,1300dunnave,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
59,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,,504,walgreens 05690,jacksonville,322184803,866dunnave,gender_field,pbna,
60,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
61,504,walgreens 05690,jacksonville,322184803,866dunnave,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
62,509,town star 497,jacksonville,322186309,1202dunnave,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
63,509,town star 497,jacksonville,322186309,1202dunnave,gender_field,pbna,,548,circle k 2721174,jacksonville,32218,9615hecksherdr,gender_field,pbna,
64,509,town star 497,jacksonville,322186309,1202dunnave,gender_field,pbna,,549,circle k 2721430,jacksonville,322181771,14024outbackdr,gender_field,pbna,
65,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,,548,circle k 2721174,jacksonville,32218,9615hecksherdr,gender_field,pbna,
66,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,,549,circle k 2721430,jacksonville,322181771,14024outbackdr,gender_field,pbna,
67,548,circle k 2721174,jacksonville,32218,9615hecksherdr,gender_field,pbna,,549,circle k 2721430,jacksonville,322181771,14024outbackdr,gender_field,pbna,
68,377,proctor ace hardware,jacksonville,322164976,5723universityblvdw,gender_field,pbna,,525,first coast energy 1021,jacksonville,322162734,3244universityblvds,gender_field,pbna,
72,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,,497,king food discount 03,jacksonville,322184002,11565nmainst,gender_field,pbna,
73,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
75,497,king food discount 03,jacksonville,322184002,11565nmainst,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
76,497,king food discount 03,jacksonville,322184002,11565nmainst,gender_field,pbna,,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,
77,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,
84,481,quikway 8176,callahan,320118127,542322ushighway1,gender_field,pbna,,486,easy stop food store llc,callahan,320118126,542113ushighway1,gender_field,pbna,
86,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,,506,family dollar 01690,jacksonville,322184832,1100dunnave,gender_field,pbna,
88,385,emesa express no 2,fernandinabeach,320344452,2135sadlerrd,gender_field,pbna,,458,cvs 03235,fernandinabeach,320344752,870sadlerrd,gender_field,pbna,
89,385,emesa express no 2,fernandinabeach,320344452,2135sadlerrd,gender_field,pbna,,462,circle k 2745063,fernandinabeach,320344667,2020sadlerrd,gender_field,pbna,
90,458,cvs 03235,fernandinabeach,320344752,870sadlerrd,gender_field,pbna,,462,circle k 2745063,fernandinabeach,320344667,2020sadlerrd,gender_field,pbna,
95,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
99,521,first coast energy 1070,jacksonville,322567454,8866baymeadowsrd,gender_field,pbna,,522,first coast energy 1071,jacksonville,322567705,9143baymeadowsrd,gender_field,pbna,
109,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,
112,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,339,timuquana bp,jacksonville,322108051,5406timuquanard,gender_field,pbna,
113,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,
115,353,skylight discount beverage,jacksonville,322216689,8257normandyblvdste6,gender_field,pbna,,425,walmart sc 1083,jacksonville,322051902,6830normandyblvd,gender_field,pbna,
116,353,skylight discount beverage,jacksonville,322216689,8257normandyblvdste6,gender_field,pbna,,534,first coast energy 1004,jacksonville,322216696,7750normandyblvd,gender_field,pbna,
117,425,walmart sc 1083,jacksonville,322051902,6830normandyblvd,gender_field,pbna,,534,first coast energy 1004,jacksonville,322216696,7750normandyblvd,gender_field,pbna,
121,456,a1a gas mart,fernandinabeach,320343705,816s8thst,gender_field,pbna,,458,cvs 03235,fernandinabeach,320344752,870sadlerrd,gender_field,pbna,
122,456,a1a gas mart,fernandinabeach,320343705,816s8thst,gender_field,pbna,,464,walgreens 04449,fernandinabeach,320344452,2101sadlerrd,gender_field,pbna,
123,458,cvs 03235,fernandinabeach,320344752,870sadlerrd,gender_field,pbna,,464,walgreens 04449,fernandinabeach,320344452,2101sadlerrd,gender_field,pbna,
124,460,circle k 2745036,fernandinabeach,320342262,2809atlanticave,gender_field,pbna,,462,circle k 2745063,fernandinabeach,320344667,2020sadlerrd,gender_field,pbna,
128,350,hagan ace hardware,staugustine,320866306,3050ushighway1s,gender_field,pbna,,352,hagan ace hardware,glenstmary,320405053,6567ushighway90,gender_field,pbna,
129,362,cassat ave sunoco,jacksonville,322543774,551cassatave,gender_field,pbna,,516,first coast energy 1031,jacksonville,322543722,532cassatave,gender_field,pbna,
130,375,lanier and lucas,jacksonville,322342618,8391ushighway301s,gender_field,pbna,,542,family dollar 08403,jacksonville,322182054,913newberlinrd,gender_field,pbna,
131,408,publix 0128,jacksonville,322222800,9518argyleforestblvd,gender_field,pbna,,427,publix 1037,jacksonville,322217657,7749normandyblvd,gender_field,pbna,
133,422,winn-dixie 0153,jacksonville,322216640,7921normandyblvd,gender_field,pbna,,423,winn-dixie 0191,jacksonville,322054827,5207normandyblvd,gender_field,pbna,
135,479,dollar general 01333,callahan,320113832,450019stateroad200,gender_field,pbna,,491,best prices food store,callahan,320113811,450018stateroad200,gender_field,pbna,
137,496,sunshine food mart,jacksonville,322184061,11307nmainst,gender_field,pbna,,543,dollar general 13746,jacksonville,322182706,13807nmainst,gender_field,pbna,
138,496,sunshine food mart,jacksonville,322184061,11307nmainst,gender_field,pbna,,547,circle k 2726536,jacksonville,32218,12405nmainst,gender_field,pbna,
139,543,dollar general 13746,jacksonville,322182706,13807nmainst,gender_field,pbna,,547,circle k 2726536,jacksonville,32218,12405nmainst,gender_field,pbna,
140,539,walgreens 09479,jacksonville,322262025,12387yellowbluffrd,gender_field,pbna,,541,dollar general 11826,jacksonville,322262025,12375yellowbluffrd,gender_field,pbna,
142,330,ez stop food store,glenstmary,320403902,10638ncountyroad125,gender_field,pbna,,482,jack rabbits food store,hilliard,320466712,15807countyroad108,gender_field,pbna,
143,331,shannon lake ent bp,middleburg,320684354,3138countyroad220,gender_field,pbna,,346,best price variety,middleburg,320683554,5118countyroad218,gender_field,pbna,
144,335,sunshine food mart 279,greencovesprings,320432546,1383norangeave,gender_field,pbna,,345,hill top food mart,greencovesprings,320433616,1604idlewildave,gender_field,pbna,
145,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,497,king food discount 03,jacksonville,322184002,11565nmainst,gender_field,pbna,
146,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,341,amba food mart,jacksonville,322253256,13547atlanticblvd,gender_field,pbna,
147,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,369,hala hala food mart,jacksonville,322043424,740stocktonst,gender_field,pbna,
148,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
149,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,498,emmanuel food store,jacksonville,322056202,6510normandyblvd,gender_field,pbna,
150,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
151,341,amba food mart,jacksonville,322253256,13547atlanticblvd,gender_field,pbna,,369,hala hala food mart,jacksonville,322043424,740stocktonst,gender_field,pbna,
152,341,amba food mart,jacksonville,322253256,13547atlanticblvd,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
153,341,amba food mart,jacksonville,322253256,13547atlanticblvd,gender_field,pbna,,498,emmanuel food store,jacksonville,322056202,6510normandyblvd,gender_field,pbna,
154,341,amba food mart,jacksonville,322253256,13547atlanticblvd,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
155,369,hala hala food mart,jacksonville,322043424,740stocktonst,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
156,369,hala hala food mart,jacksonville,322043424,740stocktonst,gender_field,pbna,,498,emmanuel food store,jacksonville,322056202,6510normandyblvd,gender_field,pbna,
157,369,hala hala food mart,jacksonville,322043424,740stocktonst,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
158,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,,498,emmanuel food store,jacksonville,322056202,6510normandyblvd,gender_field,pbna,
159,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
160,498,emmanuel food store,jacksonville,322056202,6510normandyblvd,gender_field,pbna,,501,sunnys food mart 3,jacksonville,322184869,819dunnave,gender_field,pbna,
161,358,safeway discount beverage 0003,jacksonvillebeach,322507241,11243rdstn,gender_field,pbna,,524,first coast energy 1082,jacksonville,322592013,2250countyroad210w,gender_field,pbna,
162,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,
163,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,
164,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,
165,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,
166,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,
167,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,
168,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
169,379,park n shop,jacksonville,322251704,2921monumentrd,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
170,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,
171,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,
172,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,
173,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,
174,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,
175,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
176,431,walmart sc 1082,jacksonville,322236675,10991sanjoseblvd,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
177,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,
178,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,
179,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,
180,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,
181,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
182,433,publix 0716,jacksonville,322593860,450stateroad13,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
183,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,
184,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,
185,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,
187,434,publix 1022,jacksonville,322237963,11406sanjoseblvd,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
189,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,
190,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
191,493,cvs 03118,jacksonville,322184832,1190dunnave,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
192,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,
193,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
194,503,publix 0686,jacksonville,322184832,1100dunnave,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
195,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,
196,517,first coast energy 1027,jacksonville,322043909,940postst,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
197,526,first coast energy 1117,jacksonville,322575431,9551sanjoseblvd,gender_field,pbna,,546,loves travel stop 603,jacksonville,322181310,400pecanparkrd,gender_field,pbna,
198,390,prime time supermarket,jacksonville,322096170,1548kingsrd,gender_field,pbna,,512,dollar general 12954,jacksonville,322192411,10171newkingsrd,gender_field,pbna,
200,407,publix 0668,orangepark,320735051,410blandingblvd,gender_field,pbna,,412,publix 0502,orangepark,320038223,5000ushighway17ste11,gender_field,pbna,
205,442,gate food 1214,yulee,320978652,463779stateroad200,gender_field,pbna,,491,best prices food store,callahan,320113811,450018stateroad200,gender_field,pbna,
207,480,dollar general 04486,hilliard,320468282,551609us-1,gender_field,pbna,,492,dollar general 18284,callahan,320113656,540560ushighway1,gender_field,pbna,
213,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,
214,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,370,baker ave food store,jacksonville,322097051,934bakerave,gender_field,pbna,
215,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
216,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,
217,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
219,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,
220,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,370,baker ave food store,jacksonville,322097051,934bakerave,gender_field,pbna,
221,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
222,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,
223,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
224,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,
225,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,370,baker ave food store,jacksonville,322097051,934bakerave,gender_field,pbna,
227,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,
228,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
229,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,,370,baker ave food store,jacksonville,322097051,934bakerave,gender_field,pbna,
230,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
231,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,
232,361,mayport food store,jacksonville,322332802,2550mayportrd,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
233,370,baker ave food store,jacksonville,322097051,934bakerave,gender_field,pbna,,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,
234,370,baker ave food store,jacksonville,322097051,934bakerave,gender_field,pbna,,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,
235,370,baker ave food store,jacksonville,322097051,934bakerave,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
236,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,
237,435,joes food mart 2,jacksonville,322181401,15411nmainst,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
238,494,sunny food mart 05,jacksonville,322183773,10870hartsrd,gender_field,pbna,,507,price rite food 06,jacksonville,322184153,57baisdenrd,gender_field,pbna,
240,364,walia ibex,jacksonville,322192627,9012newkingsrd,gender_field,pbna,,390,prime time supermarket,jacksonville,322096170,1548kingsrd,gender_field,pbna,
244,439,circle k 2745039,yulee,320972621,462480stateroad200,gender_field,pbna,,448,circle k 2745087,yulee,32097,474328estateroad200,gender_field,pbna,
248,541,dollar general 11826,jacksonville,322262025,12375yellowbluffrd,gender_field,pbna,,543,dollar general 13746,jacksonville,322182706,13807nmainst,gender_field,pbna,
258,332,h h discount beverages inc,greencovesprings,320433404,100norangeave,gender_field,pbna,,335,sunshine food mart 279,greencovesprings,320432546,1383norangeave,gender_field,pbna,
259,332,h h discount beverages inc,greencovesprings,320433404,100norangeave,gender_field,pbna,,345,hill top food mart,greencovesprings,320433616,1604idlewildave,gender_field,pbna,
260,332,h h discount beverages inc,greencovesprings,320433404,100norangeave,gender_field,pbna,,371,green cove shell,greencovesprings,320434134,410sorangeave,gender_field,pbna,
263,345,hill top food mart,greencovesprings,320433616,1604idlewildave,gender_field,pbna,,371,green cove shell,greencovesprings,320434134,410sorangeave,gender_field,pbna,
264,336,oceanway food store,jacksonville,322182610,12553nmainst,gender_field,pbna,,337,timuquana food mart,jacksonville,322108046,5102-1timuquanard,gender_field,pbna,
265,336,oceanway food store,jacksonville,322182610,12553nmainst,gender_field,pbna,,338,sams discount food mart,jacksonville,322108058,5703timuquanard,gender_field,pbna,
266,336,oceanway food store,jacksonville,322182610,12553nmainst,gender_field,pbna,,340,cherkos food mart,jacksonville,322108038,5397timuquanard,gender_field,pbna,
267,336,oceanway food store,jacksonville,322182610,12553nmainst,gender_field,pbna,,348,shad liquor,jacksonville,322572038,5285shadrdste202,gender_field,pbna,
