Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
walmart sc 548,630 collins hill rd,lawrenceville,ga,300464453,flna,162598,35,0.983407199
walmart sc imp 548,630 collins hill rd,lawrenceville,ga,300464453,flna,1768830,35,0.983407199
walmart sc 3388,1400 lawrenceville hwy,lawrenceville,ga,300442029,flna,2194997,36,0.977709949
walmart sc imp 3388,1400 lawrenceville hwy,lawrenceville,ga,300442029,flna,2194998,36,0.977709949
walmart sc 3389,3435 centerville hwy,snellville,ga,300396117,flna,2221548,37,0.977709949
walmart sc imp 3389,3435 centerville hwy,snellville,ga,300396117,flna,2221549,37,0.977709949
walmart nm 3072,2912 main st w,snellville,ga,300783148,flna,42039659,38,0.977709949
walmart nm imp 3072,2912 main st w,snellville,ga,300783148,flna,42039661,38,0.977709949
walmart sc 780,2050 w spring st,monroe,ga,306553164,flna,208472,39,0.983407199
walmart sc imp 780,2050 w spring st,monroe,ga,306553164,flna,1768936,39,0.983407199
walmart sc 5252,4221 atlanta hwy,loganville,ga,300527316,flna,2140571,40,0.977709949
walmart sc imp 5252,4221 atlanta hwy,loganville,ga,300527316,flna,2140572,40,0.977709949
walmart sc 3786,3250 sardis church rd,buford,ga,305196019,flna,2251854,41,0.977709949
walmart sc imp 3786,3250 sardis church rd,buford,ga,305196019,flna,2251855,41,0.977709949
walmart sc 878,1500 market place blvd,cumming,ga,300416060,flna,1738587,42,0.983407199
walmart sc imp 878,1500 market place blvd,cumming,ga,300416060,flna,1770738,42,0.983407199
walmart sc 7185,3655 browns bridge rd,cumming,ga,300284134,flna,42271474,43,0.833460394
walmart sc imp 7185,3655 browns bridge rd,cumming,ga,300284134,flna,42271477,43,0.690720598
walmart fuel ctr 71,3655 browns bridge rd,cumming,ga,300284134,flna,42274415,43,0.649439959
walmart sc 2154,2635 pleasant hill rd,duluth,ga,300961471,flna,824537,44,0.977709949
walmart sc imp 2154,2635 pleasant hill rd,duluth,ga,300961471,flna,1768847,44,0.977709949
walmart nm 3074,3059 lawrenceville hwy,lawrenceville,ga,300446426,flna,42032855,45,0.977709949
walmart nm imp 3074,3059 lawrenceville hwy,lawrenceville,ga,300446426,flna,42032857,45,0.977709949
walmart sc 3462,3245 lawrenceville suwanee rd,suwanee,ga,300246541,flna,2025244,46,0.977709949
walmart sc imp 3462,3245 lawrenceville suwanee rd,suwanee,ga,300246541,flna,2025245,46,0.977709949
walmart sc 1184,1825 rockbridge rd,stone mountain,ga,300873335,flna,904193,47,0.977709949
walmart sc imp 1184,1825 rockbridge rd,stone mountain,ga,300873335,flna,1768949,47,0.977709949
walmart sc 3067,4975 jimmy carter blvd,norcross,ga,300933520,flna,42081798,48,0.977709949
walmart sc imp 3067,4975 jimmy carter blvd,norcross,ga,300933520,flna,42081799,48,0.977709949
walmart sc 3627,3875 mundy mill rd,oakwood,ga,305663415,flna,2269059,49,0.977709949
walmart sc imp 3627,3875 mundy mill rd,oakwood,ga,305663415,flna,2269060,49,0.977709949
walmart sc 4185,2395 peachtree pkwy,cumming,ga,300417227,flna,42115846,50,0.977709949
walmart sc imp 4185,2395 peachtree pkwy,cumming,ga,300417227,flna,42115848,50,0.977709949
quiktrip 705,5795 jimmy carter blvd,norcross,ga,300712930,flna,1035284,51,0.5439623
quiktrip 0750,6140 jimmy carter blvd,norcross,ga,300712944,flna,1467274,51,0.5439623
a 1 market,3330 peachtree corners cir,norcross,ga,300923695,flna,794677,52,0.444371939
express super market,3330 peachtree corners cir,norcross,ga,300923695,flna,42052858,52,0.444371939
texaco food mart,3671 lwvl hwy,tucker,ga,30084,flna,2028488,53,0.701955264
texaco food mart,4271 lavista rd,tucker,ga,300845317,flna,1047620,53,0.701955264
walmart nm 3069,3101 roswell rd,marietta,ga,300627621,flna,42133252,54,0.977709949
walmart nm imp 3069,3101 roswell rd,marietta,ga,300627621,flna,42133253,54,0.977709949
